DateTime,AddedIPs,RemovedIPs
1510643876,236,0
1510665524,726,0
1510687122,351,2516
1510708651,362,0
1510730263,762,0
1510751924,887,0
1510773511,556,2397
1510795063,637,0
1510815108,864,0
1510836481,644,0
1510858062,596,1776
1510879693,424,0
1510899511,8,0
1510921301,969,0
1510942647,520,2443
1510962319,570,0
1510984063,539,0
1511004870,1112,0
1511025461,772,2558
1511045247,784,0
1511066866,1079,0
1511088464,941,0
1511108263,694,3222
1511128048,210,0
1511149738,747,0
1511171248,962,0
1511193139,970,0
1511214508,727,2473
1511236055,644,0
1511257652,749,0
1511279237,591,0
1511300879,442,2659
1511322488,76,0
1511344039,920,0
1511365644,564,0
1511387274,524,3403
1511408874,548,0
1511430497,762,0
1511452048,53,0
1511473863,723,2977
1511495226,658,0
1511516822,808,0
1511538450,820,0
1511560055,675,3172
1511581679,912,0
1511603267,1070,0
1511624850,711,0
1511646460,805,3350
1511666288,103,0
1511686101,1335,0
1511707643,673,0
1511729254,353,3280
1511750854,236,0
1511768899,669,0
1511790499,830,0
1511812235,666,2627
1511833734,670,0
1511855334,707,0
1511876906,647,0
1511896779,531,2042
1511918317,701,0
1511939926,903,0
1511961539,722,0
1511983179,574,2334
1512004716,7,0
1512026365,70,0
1512046086,1172,0
1512065956,743,2115
1512086596,611,0
1512107223,746,0
1512129101,1034,0
1512150478,742,2029
1512172222,861,0
1512193631,857,0
1512215726,1049,0
1512236843,985,1552
1512254881,1,0
1512274675,935,0
1512296274,1124,0
1512317853,1051,1848
1512339426,1088,0
1512361117,210,0
1512382642,1833,0
1512404324,1084,2296
1512425954,1107,0
1512447445,1125,0
1512469082,1456,0
1512490922,1035,2014
1512512262,860,0
1512533849,279,0
1512553636,1178,0
1512575277,1396,0
1512600470,984,2345
1512622124,903,0
1512643700,1186,0
1512665289,929,2402
1512686939,901,0
1512708590,97,0
1512728424,1258,0
1512749936,941,2496
1512769746,748,0
1512791333,675,0
1512812907,859,0
1512834476,410,0
1512856095,179,2764
1512875878,662,0
1512895673,758,0
1512915471,619,0
1512937060,591,2908
1512958675,561,0
1512980293,1054,0
1513001915,472,0
1513023485,463,2240
1513043293,55,0
1513064870,352,0
1513086740,605,0
1513100873,533,2522
1513122703,423,0
1513144195,502,0
1513162078,607,0
1513181937,496,2351
1513212742,478,0
1513234415,609,0
1513252365,476,0
1513271929,534,2473
1513291807,40,0
1513304335,411,0
1513324166,815,0
1513345703,431,0
1513367282,411,2366
1513387090,15,1
1513397889,37,0
1513419519,1054,0
1513439323,487,0
1513459077,402,2913
1513480682,290,0
1513502409,481,0
1513520315,241,0
1513541911,440,2719
1513563479,432,0
1513583302,562,0
1513603094,493,0
1513624695,458,2389
1513655305,393,0
1513677103,734,0
1513698569,340,0
1513718317,358,2159
1513738102,43,0
1513759815,843,0
1513781721,450,0
1513802909,339,2576
1513835359,383,0
1513856151,630,0
1513876756,450,2936
1513896643,373,0
1513918132,432,0
1513939728,290,0
1513961328,208,2837
1513981175,379,0
1514002851,301,0
1514024267,759,0
1514045874,357,2232
1514067445,371,0
1514080099,52,0
1514101662,150,0
1514123244,750,0
1514139450,417,3123
1514155681,336,0
1514175527,309,0
1514197068,726,0
1514218656,327,0
1514231221,1,3998
1514251081,379,0
1514272727,526,0
1514294238,612,0
1514315889,384,3728
1514337513,361,0
1514359085,727,0
1514380719,399,0
1514396819,5,3631
1514414858,446,0
1514427442,74,0
1514449058,1064,0
1514470634,126,0
1514490423,230,3785
1514512041,404,0
1514533876,394,0
1514555219,829,0
1514573469,365,3406
1514595044,417,0
1514616437,555,0
1514638049,825,0
1514657840,377,3192
1514679621,340,0
1514693910,7,0
1514713631,838,0
1514735265,499,0
1514756827,433,2675
1514773244,110,0
1514794699,1148,0
1514816264,82,0
1514832598,292,2615
1514852832,431,0
1514873690,451,0
1514893968,900,0
1514915370,472,2546
1514935587,426,0
1514955474,546,0
1514977090,116,0
1514996371,638,0
1515012872,469,2439
1515034244,433,0
1515054852,830,0
1515073637,465,0
1515094242,511,1819
1515113896,1,0
1515128563,128,0
1515149854,1184,0
1515171326,441,2089
1515192017,416,0
1515213661,467,0
1515234233,897,0
1515255244,485,0
1515268999,0,2296
1515290814,395,0
1515311302,596,0
1515331051,605,0
1515352834,436,2164
1515372673,407,0
1515392360,65,0
1515413012,706,0
1515429388,481,1798
1515449306,491,0
1515469463,61,0
1515490656,1114,0
1515511022,488,0
1515531990,396,1952
1515566944,453,0
1515587024,753,0
1515608028,444,2135
1515626471,482,0
1515647117,610,0
1515667740,118,0
1515689513,463,1981
1515706761,468,0
1515725683,449,0
1515746423,844,0
1515767668,455,0
1515788313,510,1630
1515808109,56,0
1515826764,17,0
1515847912,1272,0
1515869438,473,1822
1515891185,412,0
1515912135,450,0
1515932989,656,0
1515954301,495,1684
1515976345,483,0
1515998116,591,0
1516019323,528,0
1516040513,494,1807
1516061286,397,0
1516103696,757,0
1516120337,416,1677
1516141208,463,0
1516158188,33,0
1516178261,1104,0
1516198644,257,0
1516217679,188,1838
1516231454,396,0
1516251903,417,0
1516273806,796,0
1516295299,409,2079
1516315934,460,0
1516336771,546,0
1516354751,50,0
1516375511,651,0
1516396845,361,2112
1516413848,384,0
1516432959,723,0
1516453274,376,0
1516468319,0,1778
1516488035,549,0
1516503419,95,0
1516524766,958,0
1516546498,448,0
1516567227,229,1880
1516585062,168,0
1516604611,392,0
1516625013,775,0
1516645266,380,1989
1516667290,403,0
1516687430,580,0
1516707406,682,0
1516725886,0,2448
1516746159,421,0
1516766826,428,0
1516785492,689,0
1516806608,423,0
1516828551,438,1858
1516848555,283,0
1516870084,729,0
1516888168,35,0
1516909538,366,2099
1516930419,440,0
1516949923,396,0
1516970051,776,0
1516990709,331,2239
1517011001,372,0
1517032140,612,0
1517053432,245,0
1517071830,362,2339
1517089687,438,0
1517108441,426,0
1517129329,793,0
1517151270,534,0
1517172509,444,1704
1517194136,186,0
1517215858,34,0
1517244811,0,2179
1517287677,1,0
1517308135,2,0
1517326777,4,0
1517341505,1,2192
1517363356,2,0
1517384955,65,0
1517402917,2,0
1517422715,1,2236
1517443626,1,0
1517489366,4,0
1517510909,0,1831
1517532579,1,0
1517565009,70,0
1517586493,4,0
1517604549,0,2278
1517627899,1,0
1519739379,8420,47997
1519760969,1294,0
1519780747,837,0
1519800516,73,0
1519820365,1178,0
1519841955,730,0
1519863554,687,0
1519885070,666,0
1519906668,818,0
1519928242,632,0
1519948903,547,0
1519969611,449,0
1519991311,648,0
1520011057,475,0
1520030785,73,0
1520052573,486,0
1520072178,633,0
1520093787,488,0
1520115391,575,0
1520136969,463,0
1520158604,679,0
1520180166,507,0
1520201788,494,0
1520223382,453,0
1520244996,697,0
1520264761,573,0
1520286386,498,0
1520327801,464,0
1520349410,563,0
1520370980,410,0
1520392582,478,0
1520412365,788,0
1520434024,426,0
1520455596,467,0
1520477311,364,0
1520498787,699,0
